POLICY_ID,POLICY_IS_RENEWED
10,1
12,1
13,1
22,0
37,1
38,0
41,0
44,1
45,1
54,1
62,0
70,1
71,0
73,1
80,1
85,1
87,1
94,0
103,0
108,1
115,0
116,1
118,1
125,1
132,1
133,0
134,1
138,1
139,1
147,0
150,1
151,1
153,1
155,0
159,1
160,0
161,0
163,1
164,1
166,1
168,1
169,1
172,1
182,1
188,1
189,1
190,0
193,1
194,1
196,0
215,0
218,1
228,1
230,0
236,1
244,1
253,1
263,1
265,1
268,1
273,1
284,1
286,0
305,1
307,0
309,1
310,0
313,1
318,1
323,1
327,1
329,1
341,1
344,1
345,1
354,0
355,0
357,1
360,1
365,1
367,1
369,1
370,1
383,1
384,0
388,1
389,1
394,0
395,1
416,1
417,1
442,1
443,1
444,1
445,1
448,1
453,1
454,1
455,0
458,1
459,1
460,1
465,0
466,1
468,0
494,1
498,1
499,1
500,0
506,1
507,1
510,1
515,0
516,0
520,1
522,1
527,0
528,1
534,1
538,1
549,0
553,1
555,1
561,1
565,1
578,1
579,1
582,1
584,0
590,0
594,1
598,1
611,1
618,1
620,1
636,0
654,1
655,1
661,0
663,0
672,1
676,0
686,1
687,1
700,0
701,1
703,0
704,1
708,0
709,0
711,1
734,1
736,0
738,1
740,1
743,1
745,1
767,1
770,1
774,1
781,1
782,1
788,0
800,1
804,1
809,1
819,1
821,1
827,0
829,1
837,1
838,1
839,1
846,0
847,1
851,1
852,0
874,0
877,0
878,0
880,1
882,1
887,1
890,1
895,0
904,1
908,1
909,1
917,1
920,1
928,1
931,1
937,1
938,1
941,1
953,1
961,1
962,0
974,0
990,1
1000,1
1002,1
1006,1
1007,1
1008,1
1014,1
1015,0
1017,1
1018,0
1019,1
1025,1
1032,1
1033,1
1037,0
1039,1
1046,1
1049,0
1050,1
1054,0
1066,1
1069,1
1071,0
1075,1
1081,1
1084,0
1087,1
1103,1
1120,1
1121,1
1122,1
1129,1
1130,1
1137,0
1138,1
1147,1
1154,1
1158,1
1159,1
1160,0
1164,1
1167,1
1170,1
1173,1
1179,1
1185,0
1187,1
1192,0
1199,0
1206,1
1208,0
1214,1
1219,1
1235,1
1237,1
1246,1
1248,1
1256,1
1258,1
1263,1
1276,1
1279,1
1282,1
1283,1
1285,1
1290,1
1301,1
1303,1
1305,1
1306,0
1307,0
1314,1
1320,1
1322,1
1331,1
1339,1
1357,1
1364,1
1370,0
1372,0
1374,1
1381,0
1385,1
1389,1
1408,1
1419,1
1420,1
1422,1
1424,1
1425,0
1436,0
1441,1
1446,1
1447,1
1448,1
1451,1
1454,0
1458,1
1460,1
1462,1
1470,1
1480,0
1493,0
1495,1
1496,1
1498,0
1502,1
1504,1
1516,1
1528,0
1529,1
1530,1
1532,1
1538,1
1541,0
1542,1
1544,1
1551,1
1553,1
1557,0
1559,0
1566,1
1582,0
1586,1
1588,1
1590,1
1600,1
1612,1
1617,1
1622,1
1625,1
1628,1
1638,0
1642,0
1649,1
1652,0
1654,1
1667,1
1677,1
1680,1
1688,1
1694,1
1710,1
1712,0
1730,1
1734,1
1738,1
1742,1
1744,0
1750,1
1760,1
1763,1
1765,1
1768,1
1769,1
1779,1
1781,0
1783,1
1784,1
1785,0
1786,1
1787,1
1792,0
1795,1
1801,1
1811,1
1814,0
1816,1
1830,1
1833,1
1837,1
1840,1
1845,1
1861,1
1866,0
1876,1
1877,0
1886,1
1894,1
1897,1
1898,1
1899,1
1901,1
1904,1
1909,1
1910,1
1913,1
1918,1
1920,1
1923,0
1925,1
1930,0
1937,1
1938,1
1941,1
1944,0
1985,0
1987,1
1990,1
1992,1
1993,1
1994,1
2000,0
2007,1
2008,1
2018,0
2052,0
2056,1
2059,1
2062,1
2065,1
2066,1
2072,1
2076,1
2082,1
2089,1
2093,0
2096,1
2099,0
2103,0
2108,1
2109,0
2111,1
2113,1
2125,0
2135,1
2136,0
2143,0
2145,1
2150,1
2163,1
2167,1
2177,1
2184,0
2187,0
2196,1
2197,1
2198,1
2202,1
2205,1
2214,1
2219,0
2225,1
2231,0
2233,1
2234,1
2241,1
2246,1
2252,0
2254,0
2258,1
2260,1
2268,0
2271,1
2274,1
2277,0
2279,1
2281,1
2282,1
2287,1
2289,1
2295,0
2297,1
2299,1
2304,1
2305,0
2307,0
2313,1
2316,1
2318,1
2324,0
2325,1
2332,0
2336,1
2342,1
2348,1
2349,1
2351,0
2361,1
2362,1
2366,0
2368,0
2372,1
2378,1
2381,1
2382,0
2384,1
2394,1
2399,1
2401,1
2404,1
2414,1
2415,1
2429,1
2432,1
2443,1
2454,1
2462,0
2469,1
2472,1
2477,0
2478,1
2481,1
2487,1
2488,1
2498,0
2503,1
2515,0
2527,1
2533,1
2537,1
2539,0
2542,1
2547,1
2550,1
2554,1
2555,1
2556,0
2557,0
2558,1
2559,1
2560,1
2561,1
2565,0
2570,0
2577,1
2579,1
2585,0
2586,1
2590,1
2594,0
2597,1
2611,1
2612,1
2620,0
2622,1
2631,1
2638,1
2640,1
2657,0
2658,0
2669,1
2678,1
2693,1
2710,1
2715,1
2717,1
2721,1
2725,1
2726,1
2728,1
2732,1
2740,1
2742,1
2744,1
2754,0
2759,1
2768,1
2769,0
2770,1
2777,1
2786,0
2795,1
2800,1
2804,1
2807,1
2814,1
2816,0
2819,1
2828,1
2835,0
2847,1
2852,1
2855,1
2861,1
2862,1
2863,1
2871,1
2874,1
2875,0
2876,1
2877,1
2880,1
2892,1
2906,0
2914,1
2918,1
2920,1
2922,0
2926,1
2931,1
2934,1
2939,0
2941,1
2948,0
2957,1
2958,1
2959,0
2960,1
2967,0
2969,1
2975,1
2978,0
2979,1
2980,0
2982,0
2983,0
2990,1
2991,1
2994,1
2997,1
3001,1
3002,1
3009,0
3011,1
3012,1
3020,1
3021,1
3037,1
3056,1
3060,1
3065,1
3076,1
3084,1
3086,1
3104,1
3111,1
3125,1
3136,1
3147,1
3158,1
3160,1
3173,1
3175,1
3180,1
3181,1
3204,1
3207,0
3210,0
3216,1
3223,1
3225,1
3229,1
3238,1
3242,1
3243,0
3244,1
3248,1
3250,1
3251,1
3254,1
3260,1
3262,0
3268,1
3271,1
3281,1
3283,1
3286,1
3304,1
3306,1
3308,1
3322,1
3328,1
3333,1
3343,1
3345,1
3346,1
3355,1
3361,1
3363,1
3369,1
3373,0
3376,1
3379,1
3385,1
3388,1
3391,1
3392,1
3396,1
3397,1
3399,1
3402,1
3412,1
3416,1
3426,0
3436,0
3439,0
3444,1
3458,1
3461,1
3470,0
3478,1
3479,0
3484,1
3490,1
3493,1
3494,1
3502,1
3503,1
3514,1
3516,1
3540,0
3543,0
3545,1
3548,1
3551,1
3558,0
3567,1
3577,0
3583,0
3586,0
3589,1
3598,1
3601,1
3603,1
3605,0
3608,1
3613,1
3633,1
3638,1
3639,1
3640,0
3644,1
3658,1
3661,0
3662,1
3670,0
3672,1
3673,1
3676,1
3679,0
3682,1
3687,0
3691,1
3693,1
3695,1
3696,1
3708,1
3710,1
3719,0
3723,1
3724,1
3727,0
3742,0
3756,1
3758,1
3767,1
3775,1
3781,1
3786,1
3788,0
3789,1
3792,0
3794,1
3804,0
3811,0
3820,1
3821,0
3822,1
3829,1
3832,0
3833,1
3839,1
3844,1
3848,1
3853,1
3860,1
3862,0
3866,1
3867,1
3871,1
3874,1
3886,1
3901,1
3909,1
3910,0
3919,0
3920,1
3924,0
3926,1
3930,1
3932,1
3938,1
3947,1
3948,1
3949,1
3953,0
3958,1
3973,0
3987,1
4000,0
4004,1
4008,0
4010,1
4011,1
4018,1
4022,1
4039,1
4041,1
4043,1
4045,0
4050,0
4051,1
4054,1
4060,1
4062,1
4064,1
4074,1
4098,0
4100,0
4109,0
4115,1
4117,1
4118,1
4126,1
4130,1
4133,0
4137,1
4151,1
4153,1
4157,1
4159,0
4174,1
4181,1
4183,0
4185,1
4189,0
4192,1
4196,1
4197,1
4201,1
4214,0
4219,1
4226,1
4234,1
4243,1
4246,1
4248,0
4249,1
4253,1
4256,0
4268,1
4274,1
4279,1
4281,1
4286,0
4291,1
4312,1
4325,1
4334,1
4338,1
4340,1
4344,1
4349,1
4350,1
4353,1
4354,1
4361,0
4363,1
4369,1
4370,1
4371,0
4379,0
4385,0
4392,1
4399,1
4402,1
4410,1
4414,1
4418,1
4419,1
4423,1
4426,1
4431,1
4433,1
4451,1
4457,1
4466,1
4467,1
4476,1
4485,1
4494,0
4498,0
4499,1
4500,0
4503,1
4508,1
4511,1
4515,0
4517,1
4522,1
4532,1
4533,0
4539,1
4545,1
4557,0
4566,0
4567,0
4577,0
4585,1
4593,0
4599,0
4604,1
4605,1
4607,1
4613,1
4614,1
4618,0
4623,1
4628,0
4651,1
4664,1
4666,0
4671,1
4676,1
4677,0
4681,1
4683,1
4692,1
4693,0
4706,1
4713,1
4715,0
4717,1
4722,0
4726,1
4728,1
4730,1
4733,0
4743,0
4749,0
4750,0
4755,1
4769,0
4772,1
4773,1
4774,0
4780,0
4782,0
4787,1
4790,1
4791,1
4804,1
4805,1
4807,0
4809,0
4811,0
4818,0
4828,0
4829,1
4830,0
4833,1
4834,0
4835,0
4838,1
4848,1
4849,1
4852,0
4858,1
4859,1
4861,1
4862,1
4874,0
4883,1
4885,1
4890,1
4891,1
4893,1
4898,1
4900,1
4904,1
4909,1
4910,0
4922,1
4924,1
4932,1
4936,0
4937,1
4939,0
4948,1
4949,0
4950,1
4954,0
4961,0
4962,1
4963,1
4972,0
4975,1
4980,1
4984,1
4987,1
4992,0
4999,0
5002,1
5003,1
5004,0
5014,1
5015,1
5016,1
5020,1
5023,1
5029,1
5030,1
5032,1
5039,0
5047,0
5049,1
5052,0
5059,1
5064,1
5071,0
5075,0
5085,1
5094,1
5095,0
5097,1
5099,1
5103,1
5105,1
5106,1
5107,0
5108,1
5109,1
5118,1
5124,0
5143,0
5144,1
5147,1
5151,1
5164,0
5165,1
5170,1
5177,1
5182,0
5186,1
5194,1
5195,1
5199,1
5202,1
5204,1
5207,0
5209,1
5214,1
5215,1
5217,1
5227,1
5231,1
5236,1
5244,1
5246,1
5247,1
5250,1
5258,1
5261,1
5273,1
5276,1
5281,0
5283,1
5286,1
5287,0
5305,0
5315,1
5319,1
5324,0
5327,1
5333,1
5334,1
5338,1
5340,1
5341,0
5345,1
5348,1
5351,1
5362,1
5372,1
5378,1
5379,0
5386,1
5388,0
5391,1
5393,1
5404,1
5407,1
5408,0
5416,0
5417,1
5423,0
5432,1
5435,1
5443,0
5446,1
5449,1
5462,1
5465,1
5471,1
5473,1
5475,1
5476,1
5486,1
5491,0
5494,1
5507,1
5510,1
5511,1
5512,1
5519,1
5525,0
5538,1
5542,1
5552,1
5556,0
5570,0
5574,1
5583,1
5591,1
5592,1
5594,1
5604,0
5612,1
5614,1
5616,1
5630,1
5635,0
5646,0
5651,1
5655,1
5659,1
5664,1
5665,0
5667,1
5678,1
5679,1
5683,0
5689,0
5692,1
5694,1
5695,1
5698,0
5700,1
5701,1
5709,1
5710,1
5712,1
5713,1
5716,1
5717,1
5718,1
5724,1
5727,1
5730,0
5734,1
5735,1
5739,1
5748,1
5754,0
5760,1
5761,1
5783,0
5784,0
5788,0
5796,1
5799,1
5802,0
5805,1
5809,1
5813,1
5822,1
5825,1
5828,1
5833,1
5839,1
5843,1
5854,0
5862,1
5876,1
5887,1
5892,1
5897,1
5898,1
5908,1
5915,1
5926,1
5948,1
5950,1
5951,0
5955,1
5957,1
5962,1
5964,1
5965,1
5976,1
5982,1
5987,1
5990,1
5994,1
6000,1
6001,0
6009,1
6012,1
6015,1
6016,1
6018,1
6027,1
6031,1
6038,1
6047,1
6048,1
6050,1
6051,1
6055,0
6068,1
6075,1
6076,1
6080,1
6090,0
6095,1
6104,1
6115,1
6118,1
6124,1
6125,1
6128,1
6130,1
6144,1
6148,1
6150,1
6152,0
6160,1
6162,1
6170,1
6171,1
6176,1
6179,0
6181,1
6186,1
6187,1
6192,1
6197,1
6200,1
6203,1
6205,1
6207,1
6222,1
6227,1
6235,1
6237,0
6239,1
6244,1
6246,1
6248,0
6262,0
6265,0
6266,1
6272,1
6279,1
6287,0
6288,0
6290,1
6312,0
6315,1
6324,0
6332,0
6335,1
6336,1
6337,1
6354,1
6360,1
6362,1
6364,1
6370,1
6377,1
6386,1
6395,1
6399,1
6401,1
6402,1
6408,1
6411,1
6414,1
6418,1
6419,0
6421,1
6428,1
6433,0
6434,1
6439,1
6447,1
6458,0
6460,0
6467,0
6468,1
6470,1
6476,1
6479,1
6480,1
6486,1
6491,1
6509,0
6516,1
6521,1
6524,1
6526,1
6527,1
6537,1
6538,0
6539,1
6547,1
6550,1
6559,1
6561,1
6563,1
6567,1
6577,1
6585,0
6586,0
6588,1
6590,1
6591,1
6594,1
6598,1
6599,1
6605,1
6607,0
6616,0
6633,1
6640,1
6651,1
6652,1
6658,0
6662,1
6663,1
6667,1
6675,0
6677,1
6682,1
6683,0
6684,1
6686,1
6687,0
6688,1
6694,1
6701,1
6707,1
6708,1
6713,1
6718,1
6728,1
6731,1
6734,1
6740,1
6742,1
6743,0
6746,1
6749,1
6756,1
6761,0
6765,0
6767,1
6768,1
6770,1
6791,1
6792,0
6806,1
6807,0
6808,1
6809,1
6818,1
6822,1
6831,0
6843,1
6849,1
6868,0
6874,1
6886,0
6889,1
6901,1
6909,1
6912,1
6923,1
6932,1
6941,1
6952,0
6961,1
6965,1
6971,1
6974,0
6982,1
6986,1
6990,1
6991,1
6993,1
6995,1
6996,1
6997,0
7005,1
7006,1
7009,0
7010,1
7012,1
7014,1
7020,0
7025,1
7030,1
7031,1
7035,1
7037,1
7043,1
7049,1
7056,1
7057,1
7059,1
7060,1
7069,1
7073,1
7076,1
7086,0
7094,1
7102,0
7105,0
7111,0
7113,1
7125,1
7129,1
7132,1
7134,0
7136,1
7144,1
7150,1
7153,1
7155,0
7156,1
7172,1
7180,0
7183,1
7184,1
7185,1
7200,1
7203,1
7210,1
7219,1
7221,0
7225,1
7226,1
7238,1
7246,1
7251,1
7252,0
7256,0
7259,0
7270,0
7271,0
7274,0
7277,1
7278,1
7286,0
7287,1
7288,0
7292,1
7295,1
7307,0
7313,0
7323,1
7336,1
7339,0
7342,1
7347,1
7352,1
7359,1
7369,1
7389,1
7392,0
7394,1
7403,1
7405,1
7409,1
7412,0
7418,0
7431,1
7432,1
7435,1
7438,0
7439,0
7444,1
7451,1
7457,1
7463,1
7465,1
7469,1
7472,0
7477,1
7495,1
7508,1
7520,1
7522,1
7537,1
7539,1
7540,1
7541,1
